X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,BUI,FWI,log_area,month_num,day_num
8,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,58.39120879101316,9.582768678796116,0.0,10,1
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,28.108431162787113,11.6144789367111,0.0,3,3
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,32.13212560337965,10.517521758608494,0.0,4,6
6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,176.4976632061384,30.102377856962164,0.0,9,2
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,123.52952039508033,32.61929199405699,0.0,9,1
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,96.10658811922859,90.37026331724661,0.0,6,7
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,146.3147609398321,26.45888564630576,0.0,8,6
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,175.73242813149537,59.558930129356305,0.0,8,6
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,163.60882887519188,42.70268262149059,0.0,9,5
7,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,173.2081775114106,29.991321656136044,0.0,9,1
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,193.36631947600387,33.70155957441061,0.0,9,6
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,197.4497073099845,33.798986235016876,0.0,9,7
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,130.1911054634269,47.399987567924,0.0,9,5
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,138.7456248665671,28.552062822790234,0.0,9,1
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,111.83011179810502,22.793092509697313,0.0,9,5
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0,119.70347183919402,28.82552010420433,0.0,9,7
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,123.52952039508033,32.61929199405699,0.0,9,1
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0,126.45987445644494,25.437729314875188,0.0,9,2
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,62.52940865871657,18.709734202771582,0.0,10,2
7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,72.04908755620256,24.297827947129765,0.0,10,5
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,75.4067198389895,20.671156194332923,0.0,10,6
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,26.35297686715296,7.271581364868677,0.0,3,2
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0,85.76619065956308,6.658681053589519,0.0,7,2
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,139.61562698326617,33.30983458345214,0.0,8,6
4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,152.70671678337226,51.81068453658947,0.0,8,2
4,4,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0,133.84890050039778,28.2052749552749,0.0,9,6
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,129.3589904021174,25.374853396886344,0.0,9,3
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,130.1911054634269,47.399987567924,0.0,9,3
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,173.2081775114106,29.991321656136044,0.0,9,1
6,6,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,92.18297836760969,32.29444513611015,0.0,7,1
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,24.850622739557043,7.521633948945658,0.0,3,1
4,4,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,52.048006210160395,13.564662059356657,0.0,3,1
4,4,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0,184.53007913007787,36.394270321571774,0.0,9,4
4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,142.8482617582855,26.554408108398693,0.0,8,7
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,156.06891964339644,36.14975099312447,0.0,8,3
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,156.06891964339644,36.14975099312447,0.0,8,3
4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,159.62534185058965,27.404589616719306,0.0,8,4
4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,184.53007913007787,36.394270321571774,0.0,9,4
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,126.45987445644494,25.437729314875188,0.0,9,2
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,79.62056803390998,25.782795895969628,0.0,10,7
2,2,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,11.046288209124617,2.040474833182857,0.0,2,1
2,2,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,14.936842104771817,7.11211680268242,0.0,2,5
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,51.15059166448742,21.854667244093104,0.0,3,7
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,51.15059166448742,21.854667244093104,0.0,3,7
2,2,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,107.30695579099297,27.254030227066078,0.0,8,4
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,142.8482617582855,26.554408108398693,0.0,8,7
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,147.02087421903707,25.301233959196704,0.0,8,1
2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,159.62534185058965,27.404589616719306,0.0,8,4
2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,163.60882887519188,42.70268262149059,0.0,9,5
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,163.60882887519188,42.70268262149059,0.0,9,5
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,163.60882887519188,42.70268262149059,0.0,9,5
4,5,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,33.26019872516943,16.73680437576227,0.0,3,5
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0,48.16531199195965,25.533338337833204,0.0,3,5
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,130.1911054634269,47.399987567924,0.0,9,5
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,33.26019872516943,16.73680437576227,0.0,3,5
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,184.2093106075192,35.862470967408655,0.0,8,2
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0,188.96368919254627,47.629368116577616,0.0,9,5
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,8.297247705946258,7.42154347831697,0.0,2,4
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0,14.936842104771817,7.11211680268242,0.0,2,5
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,52.048006210160395,13.564662059356657,0.0,3,1
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0,143.08177044216345,41.90149626550675,0.0,8,5
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0,157.45065926394446,29.34496147543134,0.0,8,2
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,142.8482617582855,26.554408108398693,0.0,8,7
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,152.70671678337226,51.81068453658947,0.0,8,2
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0,156.06891964339644,36.14975099312447,0.0,8,3
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,159.62534185058965,27.404589616719306,0.0,8,4
1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,184.53007913007787,36.394270321571774,0.0,9,4
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,184.53007913007787,36.394270321571774,0.0,9,4
1,2,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,184.53007913007787,36.394270321571774,0.0,9,4
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,197.4497073099845,33.798986235016876,0.0,9,7
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0,35.74186677227423,15.592700414327753,0.0,3,6
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,139.61562698326617,33.30983458345214,0.0,8,6
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,35.74186677227423,15.592700414327753,0.0,3,5
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,118.72057040955892,43.61699948495476,0.0,8,7
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,147.02087421903707,25.301233959196704,0.0,8,1
4,4,sep,sun,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0,136.42349903126635,21.603875626117127,0.0,9,7
3,4,feb,sat,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0,9.62549800748877,2.502919633103681,0.0,2,6
3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0,3.46046511587669,0.25962781322128586,0.0,3,6
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,178.89985377016166,39.70439257661617,0.0,8,7
3,4,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,184.2093106075192,35.862470967408655,0.0,8,2
2,4,aug,tue,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,152.70671678337226,51.81068453658947,0.0,8,2
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,167.15926930315928,34.165757921731306,0.0,9,6
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,3.7099730453221063,1.4268971142253015,0.0,1,6
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,21.072135784510323,4.7038059016441585,0.0,3,5
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,30.682355596248648,13.96924730155254,0.0,3,4
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,142.8482617582855,26.554408108398693,0.0,8,7
4,5,sep,sat,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,133.84890050039778,28.2052749552749,0.0,9,6
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0,138.7456248665671,28.552062822790234,0.0,9,1
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,21.072135784510323,4.7038059016441585,0.0,3,5
3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,33.26019872516943,16.73680437576227,0.0,3,5
3,4,sep,sun,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,136.42349903126635,21.603875626117127,0.0,9,7
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0,123.52952039508033,32.61929199405699,0.0,9,1
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,26.35297686715296,7.271581364868677,0.0,3,2
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,26.35297686715296,7.271581364868677,0.0,3,2
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,35.74186677227423,15.592700414327753,0.0,3,6
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,35.74186677227423,15.592700414327753,0.0,3,6
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0,39.619694403396736,13.804988689463622,0.0,3,1
3,4,aug,thu,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,107.30695579099297,27.254030227066078,0.0,8,4
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,182.01560152263554,40.06526330421767,0.0,8,1
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0,182.01560152263554,40.06526330421767,0.0,8,1
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,170.49269892484364,34.04376772640374,0.0,9,7
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,115.30853401883533,14.927395335366821,0.0,9,2
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0,130.1911054634269,47.399987567924,0.0,9,5
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,79.62056803390998,25.782795895969628,0.0,10,7
3,5,mar,mon,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,52.048006210160395,13.564662059356657,0.0,3,1
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,197.4497073099845,33.798986235016876,0.0,9,5
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0,66.4550647320719,16.01321249822907,0.0,10,3
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,79.62056803390998,25.782795895969628,0.0,10,7
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,26.602341255292615,0.8719090062809473,0.0,2,6
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,24.850622739557043,7.521633948945658,0.0,3,1
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0,51.15059166448742,21.854667244093104,0.0,3,7
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,124.92575356322916,50.33937568510835,0.0,9,4
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,26.35297686715296,7.271581364868677,0.0,3,2
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,175.73242813149537,59.558930129356305,0.0,8,6
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0,170.49269892484364,34.04376772640374,0.0,9,7
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,173.2081775114106,29.991321656136044,0.0,9,1
9,9,jul,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,69.7326730388706,13.182380319444613,0.3074846997479606,7,2
1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,176.4976632061384,30.102377856962164,0.35767444427181594,9,2
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,173.2081775114106,29.991321656136044,0.3852624007906449,9,1
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,134.4044820125339,42.55718011297107,0.4382549309311553,8,3
8,6,aug,fri,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,143.08177044216345,41.90149626550675,0.4762341789963716,8,5
1,2,jul,sat,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,71.60612413101163,24.220817572405167,0.5364933705145685,7,6
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,134.4044820125339,42.55718011297107,0.5709795465857378,8,3
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,167.8937503436818,38.7387189928124,0.6418538861723948,8,4
5,4,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,39.619694403396736,13.804988689463622,0.6678293725756554,3,1
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,115.30853401883533,14.927395335366821,0.6729444732424258,9,2
2,2,aug,tue,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,152.70671678337226,51.81068453658947,0.7275486072772778,8,2
8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,124.92575356322916,50.33937568510835,0.7514160886839212,9,4
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,85.10576353784997,22.960097508751865,0.7839015438284094,6,5
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,92.52599202538195,24.21315311068004,0.8586616190375187,7,7
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,78.6593733015819,19.99028186310031,0.8878912573524571,7,6
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,130.1911054634269,47.399987567924,0.9001613499442714,9,5
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,193.36631947600387,33.70155957441061,0.9001613499442714,9,6
7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,152.70671678337226,51.81068453658947,0.9400072584914712,8,7
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,193.36631947600387,33.70155957441061,0.9593502213346021,9,6
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,156.06891964339644,36.14975099312447,0.9669838461896731,8,3
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,156.06891964339644,36.14975099312447,0.9707789171582247,8,3
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,163.60882887519188,42.70268262149059,0.9895411936137477,9,5
7,4,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,39.619694403396736,13.804988689463622,1.0116009116784799,3,1
6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,167.8937503436818,38.7387189928124,1.0647107369924282,8,4
6,3,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,49.95618727559202,18.577718086852258,1.0784095813505903,3,6
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,167.15926930315928,34.165757921731306,1.0818051703517284,9,6
8,5,sep,sun,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,136.42349903126635,21.603875626117127,1.1019400787607843,9,7
6,5,mar,thu,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,19.92039800945472,4.868842178733515,1.144222799920162,3,4
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,156.06891964339644,36.14975099312447,1.1908875647772805,8,3
6,5,aug,wed,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,163.26608499813324,51.65592189827885,1.2556160374777743,8,3
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,48.16531199195965,25.533338337833204,1.2612978709452054,3,5
8,6,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,167.8937503436818,38.7387189928124,1.2669476034873244,8,4
5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,180.58126543016755,36.26162701497758,1.2725655957915476,9,3
8,6,aug,wed,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,131.90004786939954,26.687442291015678,1.3056264580524357,8,3
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,178.89985377016166,39.70439257661617,1.3190856114264407,8,7
4,4,sep,mon,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07,173.2081775114106,29.991321656136044,1.4036429994545037,9,1
1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5,139.61562698326617,33.30983458345214,1.5040773967762742,8,6
1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53,139.61562698326617,33.30983458345214,1.7101878155342434,8,6
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61,12.888261705808588,3.237979975726598,1.724550719534605,4,4
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69,142.8482617582855,26.554408108398693,1.7387102481382397,8,7
2,5,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88,129.3589904021174,25.374853396886344,1.7715567619105355,9,3
8,6,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,184.2093106075192,35.862470967408655,1.8293763327993617,8,2
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33,170.49269892484364,34.04376772640374,1.8453002361560848,9,7
8,6,oct,mon,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44,58.39120879101316,9.582768678796116,1.8625285401162623,10,1
5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38,17.261855669608767,5.787106968673488,1.998773638612381,2,7
7,4,oct,mon,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83,82.61050957336941,30.772002193520958,2.057962510002712,10,1
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96,171.96433932671323,49.38759513386533,2.0744289998562917,8,5
2,5,sep,tue,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04,176.4976632061384,30.102377856962164,2.084429083190875,9,2
8,6,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19,51.15059166448742,21.854667244093104,2.102913897864978,3,7
1,5,sep,mon,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3,173.2081775114106,29.991321656136044,2.1162555148025524,9,1
6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4,41.80474736788387,17.085496681916535,2.128231705849268,3,6
7,4,mar,sun,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24,43.893090231775865,13.29515652400026,2.2235418856535927,3,7
6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31,48.16531199195965,25.533338337833204,2.231089091288976,3,5
2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68,167.8937503436818,38.7387189928124,2.2700619012884857,8,4
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71,152.70671678337226,51.81068453658947,2.2731562823032334,8,2
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41,180.58126543016755,36.26162701497758,2.3427668826268775,9,3
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01,152.70671678337226,51.81068453658947,2.3988039507345884,8,2
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02,171.96433932671323,49.38759513386533,2.3997118037247684,8,5
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93,12.888261705808588,3.237979975726598,2.4790562361098245,4,4
4,5,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06,184.53007913007787,36.394270321571774,2.4898941912990393,9,4
3,4,sep,tue,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24,176.4976632061384,30.102377856962164,2.50470927708418,9,2
